Unnamed: 0,tconst,primaryTitle,originalTitle,runtimeMinutes,numVotes,label,year
5,tt0011439,The Mark of Zorro,The Mark of Zorro,79,2439.0,True,1920
13,tt0013933,The Faithful Heart,Coeur fidèle,87,1252.0,True,1923
31,tt0015400,The Thief of Bagdad,,155,6001.0,True,1924
33,tt0015842,The Joyless Street,,125,1554.0,True,1925
41,tt0016544,The Wizard of Oz,,95,1497.0,False,1925
43,tt0016641,Ben-Hur: A Tale of the Christ,Ben-Hur: A Tale of the Christ,143,7539.0,True,1925
49,tt0017463,3 Bad Men,3 Bad Men,92,1165.0,True,1926
55,tt0018379,7th Heaven,7th Heaven,110,3499.0,True,1927
58,tt0018528,The Unknown,,63,7850.0,True,1927
60,tt0018684,Beggars of Life,Beggars of Life,100,1093.0,True,1928
86,tt0021884,Frankenstein,Frankenstein,70,69780.0,True,1931
100,tt0022787,Wooden Crosses,,115,1409.0,True,1932
105,tt0023303,One Hour with You,One Hour with You,78,2389.0,True,1932
114,tt0023937,Passing Fancy,Dekigokoro,100,1306.0,True,1933
121,tt0024127,Our Flags Lead Us Forward,,95,1733.0,False,1933
133,tt0024902,Blue Steel,Blue Steel,54,1546.0,False,1934
145,tt0025898,Toni,Toni,84,1766.0,True,1935
170,tt0028021,Osaka Elegy,,71,2253.0,True,1936
194,tt0029192,Make Way for Tomorrow,Make Way for Tomorrow,91,8144.0,True,1937
199,tt0029440,The Prince and the Pauper,,118,2482.0,True,1937
201,tt0029608,Stella Dallas,Stella Dallas,106,5254.0,True,1937
207,tt0029947,Bringing Up Baby,Bringing Up Baby,102,59515.0,True,1938
212,tt0030241,Holiday,,95,15746.0,True,1938
230,tt0031381,Gone with the Wind,,238,303845.0,True,1939
246,tt0031951,Son of Frankenstein,Son of Frankenstein,99,9957.0,True,1939
267,tt0032617,I Love You Again,,99,3232.0,True,1940
278,tt0033045,The Shop Around the Corner,The Shop Around the Corner,99,30968.0,True,1940
303,tt0034162,The Sea Wolf,,100,3661.0,True,1941
304,tt0034224,Spooks Run Wild,,65,1688.0,False,1941
306,tt0034398,The Wolf Man,The Wolf Man,70,25976.0,True,1941
333,tt0035429,Went the Day Well?,,92,3549.0,True,1942
335,tt0035446,To Be or Not to Be,,99,34514.0,True,1942
337,tt0035567,Woman of the Year,,114,9842.0,True,1942
365,tt0037017,Lifeboat,Lifeboat,97,28060.0,True,1944
389,tt0037885,Love Letters,Love Letters,101,1544.0,True,1945
427,tt0039302,Dark Passage,,106,19034.0,True,1947
433,tt0039536,Kiss of Death,,99,8064.0,True,1947
463,tt0040536,Letter from an Unknown Woman,,87,11921.0,True,1948
476,tt0040866,La Terra Trema,,160,4876.0,True,1948
486,tt0041460,The Hidden Room,,96,1895.0,True,1949
493,tt0041699,Stray Dog,Nora inu,122,16502.0,True,1949
505,tt0042209,At War with the Army,,93,2325.0,False,1950
507,tt0042235,Beauty and the Devil,,96,1550.0,True,1950
529,tt0043286,Angels in the Outfield,Angels in the Outfield,99,2314.0,True,1951
531,tt0043338,Ace in the Hole,Ace in the Hole,111,34375.0,True,1951
539,tt0043757,Lost Continent,Lost Continent,83,1497.0,False,1951
542,tt0043879,On Dangerous Ground,On Dangerous Ground,82,6857.0,True,1951
548,tt0043959,Rawhide,,89,2645.0,True,1951
553,tt0044320,Abbott and Costello Meet Captain Kidd,,70,2135.0,False,1952
561,tt0044741,Ikiru,,143,74694.0,True,1952
567,tt0044982,The Flavor of Green Tea Over Rice,,116,2833.0,True,1952
574,tt0045201,The Stranger in Between,Hunted,84,1030.0,True,1952
578,tt0045465,99 River Street,99 River Street,83,2842.0,True,1953
589,tt0045826,Glen or Glenda,,65,8491.0,False,1953
619,tt0047296,On the Waterfront,On the Waterfront,108,149783.0,True,1954
633,tt0047878,The Big Combo,,87,7256.0,True,1955
649,tt0048424,The Night of the Hunter,The Night of the Hunter,92,86393.0,True,1955
651,tt0048473,Pather Panchali,Pather Panchali,125,29571.0,True,1955
652,tt0048488,The Phenix City Story,,100,2581.0,True,1955
671,tt0049012,The Burmese Harp,Biruma no tategoto,116,5758.0,True,1956
677,tt0049223,Forbidden Planet,,98,47621.0,True,1956
692,tt0049615,"The Phantom from 10,000 Leagues","The Phantom from 10,000 Leagues",81,1700.0,False,1955
720,tt0050545,Invasion of the Saucer Men,Invasion of the Saucer Men,69,1812.0,False,1957
725,tt0050665,Madhumati,,110,1394.0,True,1958
731,tt0050976,The Seventh Seal,Det sjunde inseglet,96,177539.0,True,1957
753,tt0051845,The Last Hurrah,,121,3504.0,True,1958
760,tt0052005,No Time for Sergeants,No Time for Sergeants,119,3938.0,True,1958
769,tt0052216,Big Deal on Madonna Street,I soliti ignoti,106,10091.0,True,1958
778,tt0052561,Anatomy of a Murder,Anatomy of a Murder,161,64067.0,True,1959
780,tt0052600,Ballad of a Soldier,Ballada o soldate,88,10124.0,True,1959
781,tt0052609,Beast from Haunted Cave,Beast from Haunted Cave,72,1949.0,False,1959
808,tt0053133,Odds Against Tomorrow,,96,4461.0,True,1959
832,tt0053636,The Baroness from the Gas Station,Baronessen fra benzintanken,122,1086.0,True,1960
848,tt0053987,The Steamroller and the Violin,Katok i skripka,46,6151.0,True,1961
850,tt0054042,Macario,,91,3212.0,True,1960
853,tt0054086,The Millionairess,The Millionairess,90,1791.0,False,1960
874,tt0054393,Tormented,Tormented,75,2496.0,False,1960
901,tt0055184,The Misfits,,125,19925.0,True,1961
918,tt0055618,Whistle Down the Wind,Whistle Down the Wind,99,3328.0,True,1961
919,tt0055630,Yojimbo,Yôjinbô,110,118426.0,True,1961
923,tt0055805,Boccaccio '70,Boccaccio '70,205,4325.0,True,1962
924,tt0055824,Cape Fear,Cape Fear,106,28146.0,True,1962
926,tt0055850,Chushingura,,207,2014.0,True,1962
929,tt0055913,Divorce Italian Style,Divorzio all'italiana,105,12370.0,True,1961
950,tt0056264,Mutiny on the Bounty,Mutiny on the Bounty,178,15843.0,True,1962
964,tt0056860,Beach Party,,101,2069.0,False,1963
974,tt0057083,Fun in Acapulco,Fun in Acapulco,97,3178.0,False,1963
984,tt0057360,A New Kind of Love,A New Kind of Love,110,1397.0,False,1963
999,tt0057715,Zatoichi the Fugitive,Zatôichi kyôjô-tabi,86,1712.0,True,1963
1004,tt0057919,Carry on Jack,,91,2224.0,False,1964
1006,tt0057935,Charulata,Charulata,117,5973.0,True,1964
1021,tt0058311,Hercules Against the Moon Men,Maciste e la regina di Samar,90,1844.0,False,1964
1044,tt0058898,Alphaville,,99,24406.0,True,1965
1048,tt0059012,Chimes at Midnight,Campanadas a medianoche,119,8655.0,True,1965
1064,tt0059464,Monster a Go-Go,Monster a Go-Go,68,11387.0,False,1965
1066,tt0059529,Triumph Over Violence,Obyknovennyy fashizm,138,1666.0,True,1965
1081,tt0059856,Vague Stars of Ursa...,Vaghe stelle dell'Orsa...,105,1913.0,True,1965
1082,tt0059878,Village of the Giants,,81,2316.0,False,1965
1086,tt0060138,Au hasard Balthazar,,95,19440.0,True,1966
1106,tt0060666,Manos: The Hands of Fate,Manos: The Hands of Fate,70,35858.0,False,1966
1118,tt0061132,The Hawks and the Sparrows,,89,4609.0,True,1966
1120,tt0061162,"War and Peace, Part II: Natasha Rostova",Voyna i mir II: Natasha Rostova,98,1414.0,True,1966
1128,tt0061395,Belle de Jour,,100,42825.0,True,1967
1151,tt0061709,Day of Anger,I giorni dell'ira,111,4590.0,True,1967
1160,tt0061814,The Incident,,107,3929.0,True,1967
1174,tt0062228,Our Folks,,81,3450.0,True,1967
1203,tt0063050,The Heart Is a Lonely Hunter,,123,3915.0,True,1968
1234,tt0063876,Boy,Shônen,105,1569.0,True,1969
1254,tt0064451,A Touch of Zen,,200,5981.0,True,1971
1276,tt0065234,Z,Z,127,26606.0,True,1969
1296,tt0065955,A Love Story,En kärlekshistoria,115,6589.0,True,1970
1314,tt0066491,Tristana,,99,11421.0,True,1970
1318,tt0066516,Valerie and Her Week of Wonders,,77,9325.0,True,1970
1345,tt0067047,Emil of Lonneberga,,95,4084.0,True,1971
1353,tt0067164,Guddi,Guddi,121,1071.0,True,1971
1382,tt0067927,Vanishing Point,Vanishing Point,99,28045.0,True,1971
1392,tt0068205,Love in the Afternoon,,97,7639.0,True,1972
1416,tt0068659,Greaser's Palace,,91,1036.0,False,1972
1445,tt0069452,Walter Defends Sarajevo,Valter brani Sarajevo,133,2487.0,True,1972
1448,tt0069530,Z.P.G.,Z.P.G.,97,1405.0,False,1972
1469,tt0070212,The Iceman Cometh,,239,1580.0,True,1973
1502,tt0071198,The Bat People,,93,2475.0,False,1974
1517,tt0071622,The Clockmaker of St. Paul,L'horloger de Saint-Paul,105,2407.0,True,1974
1548,tt0072934,A Pain in the Ass,L'emmerdeur,85,3125.0,True,1973
1552,tt0072979,Female Trouble,Female Trouble,89,8991.0,True,1974
1587,tt0074279,Cannonball!,Cannonball,93,4547.0,False,1976
1591,tt0074312,Chinese Roulette,Chinesisches Roulette,86,4029.0,True,1976
1596,tt0074441,The Duchess and the Dirtwater Fox,The Duchess and the Dirtwater Fox,103,1803.0,False,1976
1612,tt0074633,Hollywood Boulevard,,83,1220.0,False,1976
1621,tt0074860,Marathon Man,Marathon Man,125,61375.0,True,1976
1628,tt0075002,The Olsen Gang Sees Red,Olsen-banden ser rødt,100,2156.0,True,1976
1636,tt0075268,Stay Hungry,Stay Hungry,102,4377.0,False,1976
1641,tt0075656,The Alien Factor,The Alien Factor,80,1031.0,False,1978
1668,tt0076245,Julia,Julia,117,9341.0,True,1977
1680,tt0076709,Game of Death II,,96,3131.0,False,1980
1702,tt0077372,Corvette Summer,,105,3059.0,False,1978
1707,tt0077474,The Driver,The Driver,91,15646.0,True,1978
1712,tt0077651,Halloween,Halloween,91,260115.0,True,1978
1726,tt0078087,Piranha,,94,20905.0,False,1978
1745,tt0078784,A Respectable Life,,102,1140.0,True,1979
1748,tt0078846,Beneath the Valley of the Ultra-Vixens,,93,3035.0,False,1979
1750,tt0078875,The Tin Drum,Die Blechtrommel,142,23497.0,True,1979
1759,tt0079117,Escape to Athena,Escape to Athena,125,4970.0,False,1979
1773,tt0079596,My Brilliant Career,,100,4201.0,True,1979
1777,tt0079764,Five Evenings,,108,1227.0,True,1979
1781,tt0079855,Savage Weekend,Savage Weekend,88,1540.0,False,1979
1790,tt0080117,The Wanderers,,112,10769.0,True,1979
1809,tt0080707,The Exterminator,The Exterminator,104,5399.0,False,1980
1812,tt0080853,The Hearse,The Hearse,99,2034.0,False,1980
1847,tt0082222,Man of Iron,Czlowiek z zelaza,156,3330.0,True,1981
1872,tt0082694,The Road Warrior,,96,174374.0,True,1981
1879,tt0082755,Teddy Bear,Mis,111,5813.0,True,1981
1914,tt0083591,Attack Force Z,Attack Force Z,93,2383.0,False,1981
1919,tt0083743,La colmena,,112,1016.0,True,1982
1933,tt0084028,Absurd,Rosso sangue,96,2816.0,False,1981
1957,tt0084628,Sans Soleil,,104,10484.0,True,1983
1975,tt0084865,Victor Victoria,,134,20746.0,True,1982
1976,tt0084887,Battletruck,Warlords of the 21st Century,91,1298.0,False,1982
1993,tt0085384,Curse of the Pink Panther,Curse of the Pink Panther,109,5903.0,False,1983
2009,tt0085748,"Jara Cimrman Lying, Sleeping","Jára Cimrman lezící, spící",81,1018.0,True,1983
2042,tt0086319,The Snowdrop Festivities,,83,1456.0,True,1984
2058,tt0086543,The 4th Man,,102,7596.0,True,1983
2060,tt0086567,WarGames,WarGames,114,95954.0,True,1983
2061,tt0086610,Xtro,,86,6760.0,False,1982
2105,tt0087800,A Nightmare on Elm Street,A Nightmare on Elm Street,91,224613.0,True,1984
2124,tt0088241,Voyage to Cythera,,120,2565.0,True,1984
2125,tt0088247,The Terminator,The Terminator,107,826119.0,True,1984
2131,tt0088380,Warrior of the Lost World,,92,2641.0,False,1984
2134,tt0088757,Avenging Angel,,93,1527.0,False,1985
2145,tt0088967,Crimewave,,83,5585.0,False,1985
2147,tt0089002,Death Warmed Up,,82,1194.0,False,1984
2155,tt0089271,The Adventures of Hercules,,88,1359.0,False,1985
2163,tt0089421,King Solomon's Mines,,100,13252.0,False,1985
2164,tt0089501,Screwballs II,,92,1310.0,False,1985
2165,tt0089560,Mask,,120,27829.0,True,1985
2187,tt0089957,Samaya obayatelnaya i privlekatelnaya,Samaya obayatelnaya i privlekatelnaya,81,1773.0,True,1985
2192,tt0090073,Stick,Stick,109,2031.0,False,1985
2212,tt0090753,Blue City,,83,1186.0,False,1986
2216,tt0090888,Crossroads,Crossroads,99,15455.0,True,1986
2252,tt0091653,Nothing in Common,,118,6929.0,False,1986
2277,tt0092288,The Zero Boys,The Zero Boys,89,2396.0,False,1986
2307,tt0092963,The Emperor's Naked Army Marches On,"Yuki yukite, shingun",122,1739.0,True,1987
2343,tt0093593,On the Silver Globe,Na srebrnym globie,166,3003.0,True,1988
2360,tt0093990,Slaughterhouse,,85,2061.0,False,1987
2367,tt0094061,Stripped to Kill,Stripped to Kill,88,1387.0,False,1987
2372,tt0094169,Tough Guys Don't Dance,,110,1483.0,False,1987
2420,tt0095302,High Hopes,,108,5055.0,True,1988
2425,tt0095452,King Size,,105,2962.0,True,1988
2440,tt0095800,The Bear,L'ours,96,17446.0,True,1988
2442,tt0095889,Poltergeist III,Poltergeist III,98,18156.0,False,1988
2456,tt0096094,She's Having a Baby,,106,12554.0,False,1988
2459,tt0096223,Tapeheads,Tapeheads,93,4053.0,False,1988
2469,tt0096523,L'etudiante,L'étudiante,104,1965.0,False,1988
2491,tt0097372,For All Mankind,For All Mankind,80,5548.0,True,1989
2492,tt0097373,For Queen & Country,,105,2380.0,False,1988
2501,tt0097534,Howling V: The Rebirth,Howling V: The Rebirth,96,2565.0,False,1989
2503,tt0097570,In Country,In Country,120,2889.0,False,1989
2519,tt0097911,Moontrap,,92,3298.0,False,1988
2525,tt0098040,Otto - Der Ausserfriesische,Otto - Der Außerfriesische,92,2467.0,False,1989
2532,tt0098189,The Journey to Melonia,,104,1325.0,True,1989
2541,tt0098347,Slaves of New York,Slaves of New York,124,1003.0,False,1989
2542,tt0098350,Slipstream,,102,2612.0,False,1989
2547,tt0098502,The Toxic Avenger Part III: The Last Temptation of Toxie,The Toxic Avenger Part III: The Last Temptation of Toxie,102,4625.0,False,1989
2556,tt0099142,BlackJack,BlackJack,111,1503.0,False,1990
2559,tt0099204,Cadillac Man,Cadillac Man,97,14048.0,False,1990
2566,tt0099399,Delta Force 2: The Colombian Connection,Delta Force 2: The Colombian Connection,111,7301.0,False,1990
2567,tt0099441,Disturbed,Disturbed,96,1851.0,False,1990
2575,tt0099669,My Father's Glory,La gloire de mon père,105,6390.0,True,1990
2580,tt0099739,Hard to Kill,,96,29150.0,False,1990
2595,tt0100112,The Hairdresser's Husband,,82,9501.0,True,1990
2606,tt0100405,Pretty Woman,Pretty Woman,119,307984.0,True,1990
2630,tt0101428,The Beautiful Troublemaker,La Belle Noiseuse,238,7942.0,True,1991
2643,tt0101675,Dead Space,Dead Space,72,1074.0,False,1991
2652,tt0101921,Fried Green Tomatoes,Fried Green Tomatoes,130,71692.0,True,1991
2663,tt0102343,Love Potion No. 9,,92,13889.0,False,1992
2672,tt0102587,Only Yesterday,Omohide poro poro,118,30127.0,True,1991
2683,tt0102910,Shock 'Em Dead,,93,1050.0,False,1991
2686,tt0102943,Slacker,Slacker,97,21022.0,True,1990
2688,tt0103010,Surviving Desire,,53,1531.0,True,1992
2712,tt0103956,Child's Play 3,Child's Play 3,90,39357.0,False,1991
2714,tt0104014,All Ladies Do It,Così fan tutte,93,4600.0,False,1992
2722,tt0104187,Encino Man,,88,39238.0,False,1992
2740,tt0104761,Lotta pa Brakmakargatan,Lotta på Bråkmakargatan,74,1354.0,False,1992
2761,tt0105287,Sex and Zen,Yuk po tuen: Tau ching bo gam,99,2344.0,False,1991
2783,tt0105888,And Life Goes On,Zendegi va digar hich,95,5587.0,True,1992
2795,tt0106438,Blue,,79,2188.0,True,1993
2806,tt0106701,Dennis the Menace,Dennis the Menace,94,59722.0,False,1993
2814,tt0106950,Fortress,Fortress,95,28439.0,False,1992
2818,tt0107107,Hexed,,90,1667.0,False,1993
2851,tt0107953,Return of the Living Dead III,,97,14898.0,False,1993
2853,tt0108101,Shadowlands,,131,18289.0,True,1993
2893,tt0109439,City Slickers II: The Legend of Curly's Gold,,116,19187.0,False,1994
2902,tt0109515,Cyber Tracker,Cyber Tracker,91,1274.0,False,1994
2912,tt0109783,The Favor,The Favor,97,2820.0,False,1994
2916,tt0109830,Forrest Gump,Forrest Gump,142,1932502.0,True,1994
2921,tt0109959,Gunmen,,94,3535.0,False,1993
2937,tt0110222,Kabhi Haan Kabhi Naa,,158,17964.0,True,1994
2944,tt0110322,Legends of the Fall,,133,158354.0,True,1994
2951,tt0110521,Mina Tannenbaum,Mina Tannenbaum,128,1029.0,True,1994
2976,tt0111175,Shrunken Heads,Shrunken Heads,86,1342.0,False,1994
2982,tt0111400,Terminal Velocity,,102,13512.0,False,1994
2986,tt0111512,The Legend of Drunken Master,,102,44843.0,True,1994
2999,tt0112453,Balto,,78,42057.0,True,1995
3004,tt0112553,Bombay,Bombay,141,12268.0,True,1995
3014,tt0112740,Crimson Tide,,116,108499.0,True,1995
3030,tt0113277,Heat,Heat,170,616475.0,True,1995
3032,tt0113429,"Institute Benjamenta, or This Dream That One Calls Human Life",,105,1853.0,True,1995
3038,tt0113533,Born to Be Wild,,100,1524.0,False,1995
3064,tt0113987,Nixon,,192,30228.0,True,1995
3075,tt0114432,Hidden Assassin,The Shooter,104,2184.0,False,1995
3078,tt0114478,Smoke,,112,35503.0,True,1995
3086,tt0114709,Toy Story,Toy Story,81,937386.0,True,1995
3111,tt0115676,Big Bully,,90,4961.0,False,1996
3133,tt0116231,The Bandit,,128,68360.0,True,1996
3144,tt0116405,Getting Away with Murder,Getting Away with Murder,91,1370.0,False,1996
3145,tt0116407,Ghatak: Lethal,,158,3528.0,True,1996
3147,tt0116480,Hamsun,Hamsun,159,1558.0,True,1996
3185,tt0117260,Original Gangstas,,99,1721.0,False,1996
3206,tt0117723,Spy Hard,,81,37349.0,False,1996
3216,tt0117913,A Time to Kill,A Time to Kill,149,145215.0,True,1996
3224,tt0118138,Werner - Das muss kesseln!!!,Werner - Das muss kesseln!!!,85,3158.0,False,1996
3236,tt0118750,Booty Call,Booty Call,79,8727.0,False,1997
3239,tt0118788,Lucky Star,La buena estrella,110,2434.0,True,1997
3267,tt0119215,Good Burger,Good Burger,95,28183.0,False,1997
3281,tt0119385,Iruvar,,140,5767.0,True,1997
3288,tt0119522,Letters from a Killer,,104,2293.0,False,1998
3320,tt0120177,Spawn,,96,66753.0,False,1997
3333,tt0120522,Winter Sleepers,,122,4449.0,True,1997
3354,tt0120753,The Million Dollar Hotel,The Million Dollar Hotel,122,21369.0,False,2000
3362,tt0120851,Sweepers,,96,1777.0,False,1998
3389,tt0125301,Who Wants to Kill Jessie?,Kdo chce zabít Jessii?,80,1026.0,True,1966
3397,tt0126859,The Loss of Sexual Innocence,,106,3248.0,False,1999
3466,tt0140090,Guna,Guna,167,2638.0,True,1991
3484,tt0143338,Killer Crocodile,Killer Crocodile,90,1230.0,False,1989
3492,tt0144120,Bride of Chucky,Bride of Chucky,89,56463.0,False,1998
3513,tt0150915,Hilary and Jackie,Hilary and Jackie,121,10154.0,True,1998
3525,tt0155796,Dr. Akagi,Kanzô sensei,129,1532.0,True,1998
3535,tt0157075,The Suburbans,,81,2359.0,False,1999
3542,tt0158714,Lady Snowblood,,97,13597.0,True,1973
3549,tt0161942,Revelation,Revelation,98,1008.0,False,1999
3560,tt0163579,Chill Factor,Chill Factor,102,9595.0,False,1999
3566,tt0164756,Mifune,,98,7742.0,True,1999
3576,tt0165831,Held Up,Held Up,89,3754.0,False,1999
3585,tt0166476,Toxic Love,Amore tossico,90,1148.0,True,1983
3587,tt0166813,Spirit: Stallion of the Cimarron,Spirit: Stallion of the Cimarron,83,72182.0,True,2002
3596,tt0167947,Gallo cedrone,Gallo cedrone,93,1111.0,False,1998
3610,tt0171356,Gun Shy,Gun Shy,101,7351.0,False,2000
3624,tt0174685,Girl in Gold Boots,,94,3792.0,False,1968
3654,tt0181151,What Planet Are You From?,What Planet Are You From?,105,9390.0,False,2000
3673,tt0185183,Battlefield Earth,,118,79165.0,False,2000
3676,tt0185584,Peculiarities of the National Fishing,Osobennosti natsionalnoy rybalki,94,3571.0,True,1998
3679,tt0186730,It All Starts Today,Ça commence aujourd'hui,117,2628.0,True,1999
3681,tt0187227,Laadla,,169,1217.0,False,1994
3691,tt0188863,Love Stinks,Love Stinks,94,5199.0,False,1999
3692,tt0189153,Wheels,,92,2408.0,True,1998
3693,tt0189541,Gabriela,,93,1586.0,False,2001
3729,tt0200309,The Tale of Zatoichi Continues,,72,2366.0,True,1962
3730,tt0200469,Bats,Bats,91,10349.0,False,1999
3745,tt0204626,The Watcher,,97,26761.0,False,2000
3770,tt0211443,Jason X,Jason X,92,54497.0,False,2001
3771,tt0211900,Actors,,103,1168.0,False,2000
3783,tt0214841,Karz,,159,2227.0,True,1980
3796,tt0218043,Beyond the Mat,Beyond the Mat,102,9005.0,True,1999
3803,tt0220757,Shool,,138,3225.0,True,1999
3807,tt0222150,The Waiting List,Lista de espera,105,1214.0,True,2000
3814,tt0226872,Female Prisoner #701: Scorpion,Joshû 701-gô: Sasori,87,3923.0,True,1972
3823,tt0230600,The Others,The Others,101,353823.0,True,2001
3832,tt0233841,Baran,Baran,94,8242.0,True,2001
3877,tt0243133,The Man Who Wasn't There,The Man Who Wasn't There,116,107407.0,True,2001
3891,tt0245803,Bulletproof Monk,,104,49923.0,False,2003
3911,tt0248845,Hedwig and the Angry Inch,Hedwig and the Angry Inch,95,34784.0,True,2001
3913,tt0249047,Namukku Parkkan Munthiri Thoppukal,Namukku Parkkan Munthiri Thoppukal,137,2316.0,True,1986
3953,tt0254686,The Piano Teacher,La pianiste,131,60724.0,True,2001
3957,tt0255373,Midhunam,,147,1214.0,True,1993
3992,tt0263269,Devlerin Aski,,80,1142.0,True,1976
4002,tt0265029,America's Sweethearts,,102,57151.0,False,2001
4011,tt0265808,Stealing Harvard,,85,12962.0,False,2002
4030,tt0269410,Jonssonligan spelar hogt,,92,1719.0,False,2000
4031,tt0269604,Naken,,94,1908.0,False,2000
4055,tt0273799,Max Keeble's Big Move,,86,7956.0,False,2001
4058,tt0275083,The Warrior,,158,10916.0,True,2001
4061,tt0275491,Bad Education,La mala educación,106,58098.0,True,2004
4062,tt0275692,Sol Goode,,99,1212.0,False,2003
4077,tt0279889,Joe Somebody,,98,10437.0,False,2001
4081,tt0280424,Amy's Orgasm,,87,1849.0,False,2001
4083,tt0280460,The Banger Sisters,The Banger Sisters,98,16372.0,False,2002
4088,tt0280696,Garage Days,Garage Days,105,2801.0,False,2002
