Unnamed: 0,tconst,primaryTitle,originalTitle,runtimeMinutes,numVotes,label,year
6,tt0011607,The Parson's Widow,Prästänkan,94,1264.0,True,1920
17,tt0014358,The Pilgrim,,47,4891.0,True,1923
20,tt0014611,Why Worry?,,63,1739.0,True,1923
44,tt0016847,Faust,,107,14809.0,True,1926
63,tt0018773,The Circus,,72,32601.0,True,1928
68,tt0019109,Lonesome,,69,2231.0,True,1928
77,tt0020122,Lucky Star,Lucky Star,100,1308.0,True,1929
85,tt0021739,La Chienne,La chienne,91,4105.0,True,1931
94,tt0022436,Street Scene,Street Scene,80,1738.0,True,1931
109,tt0023649,Vampyr,Vampyr,75,17361.0,True,1932
122,tt0024183,International House,,68,1261.0,True,1933
146,tt0025913,The Triumph of the Will,Triumph des Willens,114,16974.0,True,1935
148,tt0026029,The 39 Steps,The 39 Steps,86,55071.0,True,1935
160,tt0027438,The Charge of the Light Brigade,The Charge of the Light Brigade,115,4793.0,True,1936
165,tt0027652,Fury,Fury,92,12115.0,True,1936
172,tt0028096,The Petrified Forest,,82,13452.0,True,1936
176,tt0028216,San Francisco,,115,5371.0,True,1936
181,tt0028346,Reefer Madness,,66,8480.0,False,1936
188,tt0028772,A Day at the Races,,111,13606.0,True,1937
197,tt0029310,Night Must Fall,Night Must Fall,116,2497.0,True,1937
205,tt0029850,Alexander Nevsky,Aleksandr Nevskiy,112,11088.0,True,1938
227,tt0031235,Dodge City,,104,5061.0,True,1939
249,tt0032138,The Wizard of Oz,The Wizard of Oz,102,382348.0,True,1939
250,tt0032143,The Women,The Women,133,13466.0,True,1939
273,tt0032910,Pinocchio,,88,138477.0,True,1940
275,tt0032981,Remember the Night,Remember the Night,94,5343.0,True,1940
286,tt0033533,The Devil and Miss Jones,,92,3991.0,True,1941
295,tt0033802,Ladies in Retirement,,91,1282.0,True,1941
320,tt0034946,Kings Row,,127,4336.0,True,1942
327,tt0035140,"Now, Voyager",,117,16397.0,True,1942
374,tt0037101,"Murder, My Sweet","Murder, My Sweet",95,12955.0,True,1944
377,tt0037367,This Happy Breed,This Happy Breed,115,3263.0,True,1944
387,tt0037671,The Enchanted Cottage,,91,3064.0,True,1945
410,tt0038823,Paisan,,126,8176.0,True,1946
423,tt0039101,Whistle Stop,Whistle Stop,85,1132.0,False,1946
425,tt0039224,Brute Force,,98,9895.0,True,1947
461,tt0040522,Bicycle Thieves,,89,157331.0,True,1948
472,tt0040725,The Red Shoes,,135,33425.0,True,1948
479,tt0040897,The Treasure of the Sierra Madre,,126,120830.0,True,1948
483,tt0041268,Criss Cross,,84,8265.0,True,1949
487,tt0041473,Holiday Affair,,87,5139.0,True,1949
510,tt0042369,D.O.A.,,83,11602.0,True,1949
532,tt0043379,Captain Horatio Hornblower,,117,6510.0,True,1951
559,tt0044602,Fanfan la Tulipe,Fanfan la tulipe,102,2972.0,True,1952
562,tt0044750,"Invasion, U.S.A.","Invasion, U.S.A.",73,1462.0,False,1952
570,tt0045102,Room for One More,Room for One More,98,2301.0,True,1952
577,tt0045274,Umberto D.,,89,24892.0,True,1952
581,tt0045537,The Band Wagon,The Band Wagon,112,10975.0,True,1953
638,tt0048021,Rififi,Du rififi chez les hommes,118,33002.0,True,1955
663,tt0048752,The Unknown Soldier,Tuntematon sotilas,177,7345.0,True,1955
664,tt0048801,We're No Angels,,106,9021.0,True,1955
686,tt0049474,The Man in the Gray Flannel Suit,The Man in the Gray Flannel Suit,153,3635.0,True,1956
693,tt0049665,Reach for the Sky,,135,2540.0,True,1956
700,tt0049833,The Ten Commandments,,220,67743.0,True,1956
701,tt0049843,There's Always Tomorrow,,84,2777.0,True,1955
704,tt0049902,A Man Escaped,,101,20956.0,True,1956
709,tt0050210,The Brain from Planet Arous,,71,1532.0,False,1957
714,tt0050371,A Face in the Crowd,A Face in the Crowd,126,15106.0,True,1957
717,tt0050458,Il Grido,Il grido,116,4677.0,True,1957
724,tt0050622,The Land Unknown,,78,1689.0,False,1957
726,tt0050681,Man of a Thousand Faces,Man of a Thousand Faces,122,2599.0,True,1957
749,tt0051739,The Horse's Mouth,,97,3401.0,True,1958
770,tt0052218,Some Came Running,Some Came Running,137,6251.0,True,1958
791,tt0052805,First Man Into Space,First Man Into Space,77,1434.0,False,1959
796,tt0052888,The Hideous Sun Demon,The Hideous Sun Demon,74,1372.0,False,1958
797,tt0052918,Imitation of Life,,125,15753.0,True,1959
798,tt0052954,Paper Flowers,,148,2238.0,True,1959
818,tt0053317,The Destiny of a Man,Sudba cheloveka,103,3119.0,True,1959
821,tt0053388,Battle in Outer Space,,90,1242.0,False,1959
831,tt0053611,Attack of the Giant Leeches,,62,4274.0,False,1959
863,tt0054240,Orgy of the Dead,Orgy of the Dead,92,2914.0,False,1965
865,tt0054279,School for Scoundrels,,97,3391.0,True,1960
866,tt0054292,Sergeant Rutledge,,111,4484.0,True,1960
877,tt0054413,Everybody Go Home!,,122,1205.0,True,1960
883,tt0054687,Blast of Silence,,77,3987.0,True,1961
895,tt0055018,The Innocents,The Innocents,100,29243.0,True,1961
896,tt0055031,Judgment at Nuremberg,,179,74441.0,True,1961
899,tt0055100,Lover Come Back,Lover Come Back,107,7713.0,True,1961
905,tt0055257,One-Eyed Jacks,One-Eyed Jacks,141,11027.0,True,1961
909,tt0055408,Santo vs. the Vampire Women,Santo vs. las mujeres vampiro,89,1340.0,False,1962
911,tt0055499,Through a Glass Darkly,,90,24455.0,True,1961
915,tt0055599,A Very Private Affair,,103,1049.0,False,1962
916,tt0055602,A Difficult Life,,118,1679.0,True,1961
927,tt0055872,The Creation of the Humanoids,,75,1260.0,False,1962
932,tt0055981,I Fidanzati,,77,1966.0,True,1963
934,tt0056045,Gusarskaya ballada,,96,1537.0,True,1962
954,tt0056412,Ride the High Country,Ride the High Country,94,12966.0,True,1962
958,tt0056592,To Kill a Mockingbird,,129,306526.0,True,1962
961,tt0056663,Vivre Sa Vie,,80,30394.0,True,1962
995,tt0057591,Crooks in Clover,Les tontons flingueurs,105,5747.0,True,1963
998,tt0057714,Zatoichi on the Road,Zatôichi kenka-tabi,85,1696.0,True,1963
1011,tt0058092,Father Goose,Father Goose,118,10608.0,True,1964
1036,tt0058586,A Shot in the Dark,A Shot in the Dark,102,27415.0,True,1964
1047,tt0058997,Bunny Lake Is Missing,,107,8825.0,True,1965
1050,tt0059044,Color Me Blood Red,Color Me Blood Red,79,1742.0,False,1965
1056,tt0059221,The Ghost and Mr. Chicken,,90,6396.0,True,1966
1089,tt0060182,Born Free,Born Free,95,6298.0,True,1966
1127,tt0061376,The Last Adventure,,112,3199.0,True,1967
1137,tt0061512,Cool Hand Luke,Cool Hand Luke,127,171453.0,True,1967
1140,tt0061550,Gappa the Triphibian Monsters,Daikyojû Gappa,90,1536.0,False,1967
1142,tt0061590,Don't Make Waves,,97,1590.0,False,1967
1156,tt0061781,The Firemen's Ball,,73,10489.0,True,1967
1165,tt0061976,The Million Eyes of Sumuru,The Million Eyes of Sumuru,95,1042.0,False,1967
